,product_ndc,generic_name,labeler_name,dea_schedule,brand_name,active_ingredients,finished,packaging,listing_expiration_date,openfda,marketing_category,dosage_form,spl_id,product_type,route,marketing_start_date,product_id,application_number,brand_name_base,pharm_class,marketing_end_date,brand_name_suffix,label_code,prod_code,ndc
10,0574-7116,MORPHINE SULFATE,"Paddock Laboratories, LLC",CII,Morphine Sulfate,"[{'strength': '30 mg/1', 'name': 'MORPHINE SULFATE'}]",True,"[{'marketing_start_date': '19900901', 'package_ndc': '0574-7116-12', 'description': '12 PACKET in 1 BOX (0574-7116-12)  > 1 SUPPOSITORY in 1 PACKET', 'sample': False}]",20201231,"{'is_original_packager': [True], 'spl_set_id': ['649d731b-962a-45df-b043-7e0781e8a530'], 'manufacturer_name': ['Paddock Laboratories, LLC'], 'rxcui': ['892516', '892603', '892678', '894807'], 'unii': ['X3P646A2J0']}",UNAPPROVED DRUG OTHER,SUPPOSITORY,ca563202-c105-407c-8988-92b9bb9b3d83,HUMAN PRESCRIPTION DRUG,RECTAL,19900901,0574-7116_ca563202-c105-407c-8988-92b9bb9b3d83,,Morphine Sulfate,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00574,7116,005747116
11,0574-7224,HYDROMORPHONE HYDROCHLORIDE,"Paddock Laboratories, LLC",CII,HYDROMORPHONE HYDROCHLORIDE,"[{'strength': '3 mg/1', 'name': 'HYDROMORPHONE HYDROCHLORIDE'}]",True,"[{'marketing_start_date': '19960131', 'package_ndc': '0574-7224-06', 'description': '6 PACKET in 1 BOX (0574-7224-06)  > 1 SUPPOSITORY in 1 PACKET', 'sample': False}]",20201231,"{'is_original_packager': [True], 'spl_set_id': ['1bfbba46-1979-4797-a29e-d67718131686'], 'manufacturer_name': ['Paddock Laboratories, LLC'], 'rxcui': ['897749'], 'unii': ['L960UP2KRW']}",UNAPPROVED DRUG OTHER,SUPPOSITORY,02424f89-9ccc-4cf7-82ef-04b8a9062687,HUMAN PRESCRIPTION DRUG,RECTAL,19960131,0574-7224_02424f89-9ccc-4cf7-82ef-04b8a9062687,,HYDROMORPHONE HYDROCHLORIDE,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00574,7224,005747224
12,79739-6094,"Butalbital, Aspirin, Cafeine, and Codeine Phosphate","LGM Pharma Solutions, LLC",CIII,Ascomp with Codeine,"[{'strength': '50 mg/1', 'name': 'BUTALBITAL'}, {'strength': '325 mg/1', 'name': 'ASPIRIN'}, {'strength': '40 mg/1', 'name': 'CAFFEINE'}, {'strength': '30 mg/1', 'name': 'CODEINE PHOSPHATE'}]",True,"[{'marketing_start_date': '20200724', 'package_ndc': '79739-6094-1', 'description': '100 CAPSULE in 1 BOTTLE (79739-6094-1)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['1cab3106-1064-4b42-892b-39f405d9e02f'], 'upc': ['0307226094012'], 'manufacturer_name': ['LGM Pharma Solutions, LLC'], 'unii': ['KHS0AZ4JVK', 'R16CO5Y76E', '3G6A5W338E', 'GSL05Y1MN6']}",ANDA,CAPSULE,1cab3106-1064-4b42-892b-39f405d9e02f,HUMAN PRESCRIPTION DRUG,ORAL,20011130,79739-6094_1cab3106-1064-4b42-892b-39f405d9e02f,ANDA075231,Ascomp with Codeine,"['Barbiturates [CS]', 'Barbiturate [EPC]', 'Platelet Aggregation Inhibitor [EPC]', 'Decreased Platelet Aggregation [PE]', 'Cyclooxygenase Inhibitors [MoA]', 'Decreased Prostaglandin Production [PE]', 'Anti-Inflammatory Agents', 'Non-Steroidal [CS]', 'Nonsteroidal Anti-inflammatory Drug [EPC]', 'Central Nervous System Stimulant [EPC]', 'Methylxanthine [EPC]', 'Xanthines [CS]', 'Central Nervous System Stimulation [PE]', 'Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,79739,6094,797396094
13,79739-6670,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate",LGM Pharma Solutions LLC,CIII,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","[{'strength': '50 mg/1', 'name': 'BUTALBITAL'}, {'strength': '325 mg/1', 'name': 'ACETAMINOPHEN'}, {'strength': '40 mg/1', 'name': 'CAFFEINE'}, {'strength': '30 mg/1', 'name': 'CODEINE PHOSPHATE'}]",True,"[{'marketing_start_date': '20040610', 'package_ndc': '79739-6670-1', 'description': '100 CAPSULE in 1 BOTTLE, PLASTIC (79739-6670-1)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['180d20a5-78a8-4faa-98ad-3196cdd5663a'], 'upc': ['0307226670018'], 'manufacturer_name': ['LGM Pharma Solutions LLC'], 'unii': ['KHS0AZ4JVK', '362O9ITL9D', '3G6A5W338E', 'GSL05Y1MN6']}",ANDA,CAPSULE,180d20a5-78a8-4faa-98ad-3196cdd5663a,HUMAN PRESCRIPTION DRUG,ORAL,20040610,79739-6670_180d20a5-78a8-4faa-98ad-3196cdd5663a,ANDA076560,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","['Barbiturates [CS]', 'Barbiturate [EPC]', 'Central Nervous System Stimulant [EPC]', 'Methylxanthine [EPC]', 'Xanthines [CS]', 'Central Nervous System Stimulation [PE]', 'Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,79739,6670,797396670
14,79739-7028,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","LGM Pharma Solutions, LLC",CIII,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","[{'strength': '50 mg/1', 'name': 'BUTALBITAL'}, {'strength': '300 mg/1', 'name': 'ACETAMINOPHEN'}, {'strength': '40 mg/1', 'name': 'CAFFEINE'}, {'strength': '30 mg/1', 'name': 'CODEINE PHOSPHATE'}]",True,"[{'marketing_start_date': '20040610', 'package_ndc': '79739-7028-1', 'description': '100 CAPSULE in 1 BOTTLE, PLASTIC (79739-7028-1)', 'sample': False}, {'marketing_start_date': '20040610', 'package_ndc': '79739-7028-5', 'description': '500 CAPSULE in 1 BOTTLE, PLASTIC (79739-7028-5)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['b96c0356-39e3-496a-a622-603f8a91f49e'], 'upc': ['0307227028016', '0307227028054'], 'manufacturer_name': ['LGM Pharma Solutions, LLC'], 'unii': ['KHS0AZ4JVK', '362O9ITL9D', '3G6A5W338E', 'GSL05Y1MN6']}",ANDA,CAPSULE,b96c0356-39e3-496a-a622-603f8a91f49e,HUMAN PRESCRIPTION DRUG,ORAL,20040610,79739-7028_b96c0356-39e3-496a-a622-603f8a91f49e,ANDA076560,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","['Barbiturates [CS]', 'Barbiturate [EPC]', 'Central Nervous System Stimulant [EPC]', 'Methylxanthine [EPC]', 'Xanthines [CS]', 'Central Nervous System Stimulation [PE]', 'Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,79739,7028,797397028
15,0591-0395,Pentazocine hydrochloride and naloxone hydrochloride,"Actavis Pharma, Inc.",CIV,Pentazocine and naloxone,"[{'strength': '50 mg/1', 'name': 'PENTAZOCINE HYDROCHLORIDE'}, {'strength': '.5 mg/1', 'name': 'NALOXONE HYDROCHLORIDE'}]",True,"[{'marketing_start_date': '19970521', 'package_ndc': '0591-0395-01', 'description': '100 TABLET in 1 BOTTLE, PLASTIC (0591-0395-01)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['a28450a0-ac93-4235-b9a6-58cdf24773cb'], 'manufacturer_name': ['Actavis Pharma, Inc.'], 'unii': ['A36BXO4PPX', 'F850569PQR']}",ANDA,TABLET,512a6163-1239-4cb7-b968-1695c9b9618f,HUMAN PRESCRIPTION DRUG,ORAL,19970521,0591-0395_512a6163-1239-4cb7-b968-1695c9b9618f,ANDA074736,Pentazocine and naloxone,"['Competitive Opioid Antagonists [MoA]', 'Partial Opioid Agonist/Antagonist [EPC]', 'Partial Opioid Agonists [MoA]', 'Opioid Antagonist [EPC]', 'Opioid Antagonists [MoA]']",,,00591,0395,005910395
16,0591-2641,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","Actavis Pharma, Inc.",CIII,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","[{'strength': '50 mg/1', 'name': 'BUTALBITAL'}, {'strength': '300 mg/1', 'name': 'ACETAMINOPHEN'}, {'strength': '40 mg/1', 'name': 'CAFFEINE'}, {'strength': '30 mg/1', 'name': 'CODEINE PHOSPHATE'}]",True,"[{'marketing_start_date': '20130729', 'package_ndc': '0591-2641-01', 'description': '100 CAPSULE in 1 BOTTLE, PLASTIC (0591-2641-01)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['52321fe5-c001-4e2d-8149-3197ddc13764'], 'manufacturer_name': ['Actavis Pharma, Inc.'], 'rxcui': ['1431286'], 'unii': ['KHS0AZ4JVK', '362O9ITL9D', '3G6A5W338E', 'GSL05Y1MN6']}",ANDA,CAPSULE,54475a94-5985-43c2-8b14-fd6d5ca5acb5,HUMAN PRESCRIPTION DRUG,ORAL,20130729,0591-2641_54475a94-5985-43c2-8b14-fd6d5ca5acb5,ANDA076560,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","['Barbiturates [CS]', 'Barbiturate [EPC]', 'Central Nervous System Stimulant [EPC]', 'Methylxanthine [EPC]', 'Xanthines [CS]', 'Central Nervous System Stimulation [PE]', 'Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00591,2641,005912641
17,0591-2693,oxycodone hydrochloride,"Actavis Pharma, Inc.",CII,Oxycodone Hydrochloride,"[{'strength': '40 mg/1', 'name': 'OXYCODONE HYDROCHLORIDE'}]",True,"[{'marketing_start_date': '20140903', 'package_ndc': '0591-2693-01', 'description': '100 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (0591-2693-01)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['fa459090-1382-4db5-9726-1b52d4cddbd5'], 'upc': ['0305912708014'], 'manufacturer_name': ['Actavis Pharma, Inc.'], 'rxcui': ['1860137', '1860148'], 'unii': ['C1ENJ2TE6C']}",NDA AUTHORIZED GENERIC,"TABLET, FILM COATED, EXTENDED RELEASE",4910b096-a2b5-4e8d-869e-f80bd273bed4,HUMAN PRESCRIPTION DRUG,ORAL,20140903,0591-2693_4910b096-a2b5-4e8d-869e-f80bd273bed4,NDA022272,Oxycodone Hydrochloride,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00591,2693,005912693
18,0591-2708,oxycodone hydrochloride,"Actavis Pharma, Inc.",CII,Oxycodone Hydrochloride,"[{'strength': '80 mg/1', 'name': 'OXYCODONE HYDROCHLORIDE'}]",True,"[{'marketing_start_date': '20140903', 'package_ndc': '0591-2708-01', 'description': '100 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (0591-2708-01)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['fa459090-1382-4db5-9726-1b52d4cddbd5'], 'upc': ['0305912708014'], 'manufacturer_name': ['Actavis Pharma, Inc.'], 'rxcui': ['1860137', '1860148'], 'unii': ['C1ENJ2TE6C']}",NDA AUTHORIZED GENERIC,"TABLET, FILM COATED, EXTENDED RELEASE",4910b096-a2b5-4e8d-869e-f80bd273bed4,HUMAN PRESCRIPTION DRUG,ORAL,20140903,0591-2708_4910b096-a2b5-4e8d-869e-f80bd273bed4,NDA022272,Oxycodone Hydrochloride,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,00591,2708,005912708
19,0054-3090,Butorphanol Tartrate,West-Ward Pharmaceuticals Corp.,CIV,Butorphanol Tartrate,"[{'strength': '10 mg/mL', 'name': 'BUTORPHANOL TARTRATE'}]",True,"[{'marketing_start_date': '20020312', 'package_ndc': '0054-3090-36', 'description': '1 BOTTLE, SPRAY in 1 CONTAINER (0054-3090-36)  > 15 mL in 1 BOTTLE, SPRAY', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['5a50d22e-acbe-4b15-9ed6-70713378408a'], 'manufacturer_name': ['West-Ward Pharmaceuticals Corp.'], 'unii': ['2L7I72RUHN']}",ANDA,"SPRAY, METERED",89442180-c207-4de7-b253-b83cc7fe9857,HUMAN PRESCRIPTION DRUG,NASAL,20020312,0054-3090_89442180-c207-4de7-b253-b83cc7fe9857,ANDA075824,Butorphanol Tartrate,"['Competitive Opioid Antagonists [MoA]', 'Opioid Agonist/Antagonist [EPC]', 'Partial Opioid Agonists [MoA]']",,,00054,3090,000543090
20,72572-170,Fentanyl Citrate,"Civica, Inc.",CII,Fentanyl Citrate,"[{'strength': '50 ug/mL', 'name': 'FENTANYL CITRATE'}]",True,"[{'marketing_start_date': '20191210', 'package_ndc': '72572-170-25', 'description': '25 VIAL in 1 CARTON (72572-170-25)  > 2 mL in 1 VIAL (72572-170-01)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['aacf276b-e133-4199-ad3f-67b894744c04'], 'manufacturer_name': ['Civica, Inc.'], 'unii': ['MUN5LYG46H']}",NDA,INJECTION,78c18968-d6b5-43b4-bf0c-ac59fcae7d5c,HUMAN PRESCRIPTION DRUG,INTRAMUSCULAR,20191210,72572-170_78c18968-d6b5-43b4-bf0c-ac59fcae7d5c,NDA019101,Fentanyl Citrate,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,72572,0170,725720170
21,72572-171,Fentanyl Citrate,"Civica, Inc.",CII,Fentanyl Citrate,"[{'strength': '50 ug/mL', 'name': 'FENTANYL CITRATE'}]",True,"[{'marketing_start_date': '20191210', 'package_ndc': '72572-171-25', 'description': '25 VIAL in 1 CARTON (72572-171-25)  > 5 mL in 1 VIAL (72572-171-01)', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['aacf276b-e133-4199-ad3f-67b894744c04'], 'manufacturer_name': ['Civica, Inc.'], 'unii': ['MUN5LYG46H']}",NDA,INJECTION,78c18968-d6b5-43b4-bf0c-ac59fcae7d5c,HUMAN PRESCRIPTION DRUG,INTRAMUSCULAR,20191210,72572-171_78c18968-d6b5-43b4-bf0c-ac59fcae7d5c,NDA019101,Fentanyl Citrate,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,72572,0171,725720171
22,72572-172,Fentanyl Citrate,"Civica, Inc.",CII,Fentanyl Citrate,"[{'strength': '50 ug/mL', 'name': 'FENTANYL CITRATE'}]",True,"[{'marketing_start_date': '20201007', 'package_ndc': '72572-172-01', 'description': '1 VIAL in 1 CARTON (72572-172-01)  > 50 mL in 1 VIAL', 'sample': False}]",20211231,"{'is_original_packager': [True], 'spl_set_id': ['aacf276b-e133-4199-ad3f-67b894744c04'], 'manufacturer_name': ['Civica, Inc.'], 'unii': ['MUN5LYG46H']}",NDA,INJECTION,78c18968-d6b5-43b4-bf0c-ac59fcae7d5c,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,20201007,72572-172_78c18968-d6b5-43b4-bf0c-ac59fcae7d5c,NDA019101,Fentanyl Citrate,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,72572,0172,725720172
23,72572-440,Morphine Sulfate,"Civica, Inc.",CII,Morphine Sulfate,"[{'strength': '4 mg/mL', 'name': 'MORPHINE SULFATE'}]",True,"[{'marketing_start_date': '20191111', 'package_ndc': '72572-440-25', 'description': '25 VIAL, SINGLE-DOSE in 1 PACKAGE (72572-440-25)  > 1 mL in 1 VIAL, SINGLE-DOSE (72572-440-01)', 'sample': False}]",20201231,"{'is_original_packager': [True], 'spl_set_id': ['9362eca1-2bc9-4f72-8895-0b9179bfeb2b'], 'upc': ['0372572440257'], 'manufacturer_name': ['Civica, Inc.'], 'rxcui': ['1732006'], 'unii': ['X3P646A2J0']}",ANDA,INJECTION,2c713d80-8bbf-436d-815b-95033fb839b7,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,20191111,72572-440_2c713d80-8bbf-436d-815b-95033fb839b7,ANDA205758,Morphine Sulfate,"['Full Opioid Agonists [MoA]', 'Opioid Agonist [EPC]']",,,72572,0440,725720440
24,72572-450,Nalxone Hydrochloride,"Civica, Inc.",,Naloxone Hydrochloride,"[{'strength': '.4 mg/mL', 'name': 'NALOXONE HYDROCHLORIDE'}]",True,"[{'marketing_start_date': '20191111', 'package_ndc': '72572-450-25', 'description': '25 VIAL in 1 CARTON (72572-450-25)  > 1 mL in 1 VIAL (72572-450-01)', 'sample': False}]",20201231,"{'is_original_packager': [True], 'spl_set_id': ['21d20dff-6efe-481e-a5a0-9c80ded73ca9'], 'manufacturer_name': ['Civica, Inc.'], 'rxcui': ['1191222'], 'unii': ['F850569PQR']}",ANDA,INJECTION,2d750fb1-591f-47fd-b148-fc5e9b5a9486,HUMAN PRESCRIPTION DRUG,INTRAMUSCULAR,20191111,72572-450_2d750fb1-591f-47fd-b148-fc5e9b5a9486,ANDA070299,Naloxone Hydrochloride,"['Opioid Antagonist [EPC]', 'Opioid Antagonists [MoA]']",,,72572,0450,725720450
